[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  704    0    0   50 / 1000    27.3s test_prop_SinglePreserve (collecting)
[ ]  710    0    0   50 / 1000    28.1s test_prop_SinglePreserve (collecting)
[ ]  712    0    0   51 / 1000    28.8s test_prop_SinglePreserve (collecting)
[ ]  718    0    0   51 / 1000    31.4s test_prop_SinglePreserve (collecting)
[ ]  729    0    0   51 / 1000    32.2s test_prop_SinglePreserve (collecting)
[ ]  741    0    0   51 / 1000    34.8s test_prop_SinglePreserve (collecting)
[ ]  767    0    0   54 / 1000    35.6s test_prop_SinglePreserve (collecting)
[ ]  775    0    0   54 / 1000    35.8s test_prop_SinglePreserve (collecting)
[ ]  793    0    0   57 / 1000    38.2s test_prop_SinglePreserve (collecting)
[ ]  794    0    0   57 / 1000    38.8s test_prop_SinglePreserve (collecting)
[ ]  828    0    0   58 / 1000    39.0s test_prop_SinglePreserve (collecting)
[ ]  854    0    0   59 / 1000    39.2s test_prop_SinglePreserve (collecting)
[ ]  855    0    0   59 / 1000    41.6s test_prop_SinglePreserve (collecting)
[ ]  856    0    0   59 / 1000    42.3s test_prop_SinglePreserve (collecting)
[ ]  876    0    0   59 / 1000    43.4s test_prop_SinglePreserve (collecting)
[ ]  882    0    0   59 / 1000    44.2s test_prop_SinglePreserve (collecting)
[ ]  910    0    0   60 / 1000    44.3s test_prop_SinglePreserve (collecting)
[ ]  913    0    0   61 / 1000    45.1s test_prop_SinglePreserve (collecting)
[ ]  935    0    0   62 / 1000    45.2s test_prop_SinglePreserve (collecting)
[ ]  997    0    0   75 / 1000    45.3s test_prop_SinglePreserve (collecting)
[ ] 1007    0    0   76 / 1000    46.1s test_prop_SinglePreserve (collecting)
[ ] 1023    0    0   76 / 1000    69.8s test_prop_SinglePreserve (collecting)
[ ] 1048    0    0   77 / 1000    72.0s test_prop_SinglePreserve (collecting)
[ ] 1058    0    0   79 / 1000    72.8s test_prop_SinglePreserve (collecting)
[ ] 1064    0    0   79 / 1000    73.0s test_prop_SinglePreserve (collecting)
[ ] 1092    0    0   81 / 1000    75.5s test_prop_SinglePreserve (collecting)
[ ] 1125    0    0   81 / 1000    75.6s test_prop_SinglePreserve (collecting)
[ ] 1130    0    0   81 / 1000    76.3s test_prop_SinglePreserve (collecting)
[ ] 1147    0    0   84 / 1000    76.7s test_prop_SinglePreserve (collecting)
[ ] 1173    0    0   87 / 1000    77.5s test_prop_SinglePreserve (collecting)
[ ] 1190    0    0   89 / 1000    77.8s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   91 / 1000    77.8s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 56329.51]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    7    0    0    0 / 1000     0.3s test_prop_SinglePreserve (collecting)
[ ]   21    0    0    1 / 1000     1.0s test_prop_SinglePreserve (collecting)
[ ]   59    0    0    5 / 1000     1.1s test_prop_SinglePreserve (collecting)
[ ]   72    0    0    6 / 1000     1.5s test_prop_SinglePreserve (collecting)
[ ]   73    0    0    6 / 1000     1.7s test_prop_SinglePreserve (collecting)
[ ]   75    0    0    6 / 1000     2.5s test_prop_SinglePreserve (collecting)
[ ]   79    0    0    6 / 1000     3.3s test_prop_SinglePreserve (collecting)
[ ]   81    0    0    6 / 1000     4.0s test_prop_SinglePreserve (collecting)
[ ]   92    0    0    8 / 1000     4.8s test_prop_SinglePreserve (collecting)
[ ]   93    0    0    8 / 1000     7.1s test_prop_SinglePreserve (collecting)
[ ]  120    0    0   10 / 1000     7.2s test_prop_SinglePreserve (collecting)
[ ]  136    0    0   10 / 1000     7.3s test_prop_SinglePreserve (collecting)
[ ]  139    0    0   11 / 1000     9.6s test_prop_SinglePreserve (collecting)
[ ]  162    0    0   11 / 1000     9.8s test_prop_SinglePreserve (collecting)
[ ]  189    0    0   13 / 1000    10.6s test_prop_SinglePreserve (collecting)
[ ]  217    0    0   15 / 1000    11.6s test_prop_SinglePreserve (collecting)
[ ]  220    0    0   15 / 1000    11.8s test_prop_SinglePreserve (collecting)
[ ]  247    0    0   17 / 1000    11.9s test_prop_SinglePreserve (collecting)
[ ]  260    0    0   17 / 1000    12.0s test_prop_SinglePreserve (collecting)
[ ]  270    0    0   18 / 1000    12.2s test_prop_SinglePreserve (collecting)
[ ]  304    0    0   25 / 1000    12.5s test_prop_SinglePreserve (collecting)
[ ]  305    0    0   25 / 1000    12.7s test_prop_SinglePreserve (collecting)
[ ]  306    0    0   25 / 1000    13.4s test_prop_SinglePreserve (collecting)
[ ]  326    0    0   26 / 1000    13.7s test_prop_SinglePreserve (collecting)
[ ]  337    0    0   30 / 1000    14.4s test_prop_SinglePreserve (collecting)
[ ]  357    0    0   30 / 1000    14.5s test_prop_SinglePreserve (collecting)
[ ]  373    0    0   32 / 1000    14.7s test_prop_SinglePreserve (collecting)
[ ]  374    0    0   32 / 1000    15.4s test_prop_SinglePreserve (collecting)
