[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ] 1093    0    0   95 / 1000    37.5s test_prop_SinglePreserve (collecting)
[ ] 1102    0    0   96 / 1000    38.3s test_prop_SinglePreserve (collecting)
[ ] 1110    0    0   98 / 1000    40.6s test_prop_SinglePreserve (collecting)
[ ] 1144    0    0  102 / 1000    40.7s test_prop_SinglePreserve (collecting)
[ ] 1187    0    0  102 / 1000    40.8s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0  105 / 1000    40.8s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 40801.50]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    1    0    0    0 / 1000     0.9s test_prop_SinglePreserve (collecting)
[ ]   31    0    0    2 / 1000     1.8s test_prop_SinglePreserve (collecting)
[ ]   75    0    0    5 / 1000     1.9s test_prop_SinglePreserve (collecting)
[ ]   99    0    0    7 / 1000     2.7s test_prop_SinglePreserve (collecting)
[ ]  104    0    0    7 / 1000     5.0s test_prop_SinglePreserve (collecting)
[ ]  107    0    0    7 / 1000     7.3s test_prop_SinglePreserve (collecting)
[ ]  119    0    0    7 / 1000     7.5s test_prop_SinglePreserve (collecting)
[ ]  166    0    0    9 / 1000     7.6s test_prop_SinglePreserve (collecting)
[ ]  195    0    0   11 / 1000     7.7s test_prop_SinglePreserve (collecting)
[ ]  196    0    0   11 / 1000    10.0s test_prop_SinglePreserve (collecting)
[ ]  205    0    0   11 / 1000    10.2s test_prop_SinglePreserve (collecting)
[ ]  216    0    0   11 / 1000    11.1s test_prop_SinglePreserve (collecting)
[ ]  228    0    0   12 / 1000    11.3s test_prop_SinglePreserve (collecting)
[ ]  250    0    0   14 / 1000    13.6s test_prop_SinglePreserve (collecting)
[ ]  262    0    0   14 / 1000    13.7s test_prop_SinglePreserve (collecting)
[ ]  316    0    0   19 / 1000    14.0s test_prop_SinglePreserve (collecting)
[ ]  323    0    0   21 / 1000    16.0s test_prop_SinglePreserve (collecting)
[ ]  325    0    0   21 / 1000    16.4s test_prop_SinglePreserve (collecting)
[ ]  342    0    0   22 / 1000    16.5s test_prop_SinglePreserve (collecting)
[ ]  345    0    0   23 / 1000    18.8s test_prop_SinglePreserve (collecting)
[ ]  351    0    0   25 / 1000    19.0s test_prop_SinglePreserve (collecting)
[ ]  368    0    0   29 / 1000    19.1s test_prop_SinglePreserve (collecting)
[ ]  369    0    0   29 / 1000    19.2s test_prop_SinglePreserve (collecting)
[ ]  371    0    0   29 / 1000    21.3s test_prop_SinglePreserve (collecting)
[ ]  389    0    0   29 / 1000    21.5s test_prop_SinglePreserve (collecting)
[ ]  415    0    0   31 / 1000    21.6s test_prop_SinglePreserve (collecting)
[ ]  447    0    0   32 / 1000    21.9s test_prop_SinglePreserve (collecting)
[ ]  469    0    0   34 / 1000    22.1s test_prop_SinglePreserve (collecting)
[ ]  471    0    0   34 / 1000    22.8s test_prop_SinglePreserve (collecting)
[ ]  480    0    0   34 / 1000    25.0s test_prop_SinglePreserve (collecting)
[ ]  484    0    0   34 / 1000    25.1s test_prop_SinglePreserve (collecting)
[ ]  485    0    0   34 / 1000    25.7s test_prop_SinglePreserve (collecting)
[ ]  500    0    0   36 / 1000    28.3s test_prop_SinglePreserve (collecting)
[ ]  545    0    0   39 / 1000    28.4s test_prop_SinglePreserve (collecting)
[ ]  547    0    0   39 / 1000    29.3s test_prop_SinglePreserve (collecting)
[ ]  551    0    0   39 / 1000    30.0s test_prop_SinglePreserve (collecting)
[ ]  566    0    0   39 / 1000    30.3s test_prop_SinglePreserve (collecting)
[ ]  616    0    0   44 / 1000    30.6s test_prop_SinglePreserve (collecting)
[ ]  645    0    0   46 / 1000    30.7s test_prop_SinglePreserve (collecting)
[ ]  667    0    0   47 / 1000    31.5s test_prop_SinglePreserve (collecting)
[ ]  672    0    0   47 / 1000    31.7s test_prop_SinglePreserve (collecting)
[ ]  707    0    0   51 / 1000    33.8s test_prop_SinglePreserve (collecting)
[ ]  726    0    0   53 / 1000    34.0s test_prop_SinglePreserve (collecting)
[ ]  757    0    0   55 / 1000    34.2s test_prop_SinglePreserve (collecting)
[ ]  786    0    0   57 / 1000    34.4s test_prop_SinglePreserve (collecting)
[ ]  802    0    0   57 / 1000    36.7s test_prop_SinglePreserve (collecting)
[ ]  808    0    0   57 / 1000    36.8s test_prop_SinglePreserve (collecting)
[ ]  812    0    0   57 / 1000    37.2s test_prop_SinglePreserve (collecting)
[ ]  813    0    0   57 / 1000    37.4s test_prop_SinglePreserve (collecting)
[ ]  822    0    0   57 / 1000    37.7s test_prop_SinglePreserve (collecting)
[ ]  829    0    0   58 / 1000    38.5s test_prop_SinglePreserve (collecting)
[ ]  848    0    0   59 / 1000    41.0s test_prop_SinglePreserve (collecting)
[ ]  855    0    0   60 / 1000    43.4s test_prop_SinglePreserve (collecting)
[ ]  881    0    0   62 / 1000    43.7s test_prop_SinglePreserve (collecting)
[ ]  930    0    0   65 / 1000    43.8s test_prop_SinglePreserve (collecting)
