[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]  881    0    0   64 / 1000    29.4s test_prop_SinglePreserve (collecting)
[ ]  895    0    0   64 / 1000    29.7s test_prop_SinglePreserve (collecting)
[ ]  900    0    0   65 / 1000    30.0s test_prop_SinglePreserve (collecting)
[ ]  937    0    0   66 / 1000    30.3s test_prop_SinglePreserve (collecting)
[ ]  954    0    0   68 / 1000    30.4s test_prop_SinglePreserve (collecting)
[ ]  959    0    0   68 / 1000    31.2s test_prop_SinglePreserve (collecting)
[ ]  965    0    0   68 / 1000    31.4s test_prop_SinglePreserve (collecting)
[ ]  995    0    0   69 / 1000    31.8s test_prop_SinglePreserve (collecting)
[ ] 1006    0    0   71 / 1000    31.9s test_prop_SinglePreserve (collecting)
[ ] 1011    0    0   72 / 1000    32.0s test_prop_SinglePreserve (collecting)
[ ] 1036    0    0   74 / 1000    32.2s test_prop_SinglePreserve (collecting)
[ ] 1080    0    0   81 / 1000    32.3s test_prop_SinglePreserve (collecting)
[ ] 1112    0    0   83 / 1000    34.6s test_prop_SinglePreserve (collecting)
[ ] 1115    0    0   83 / 1000    35.1s test_prop_SinglePreserve (collecting)
[ ] 1128    0    0   83 / 1000    35.4s test_prop_SinglePreserve (collecting)
[ ] 1137    0    0   83 / 1000    36.1s test_prop_SinglePreserve (collecting)
[ ] 1139    0    0   83 / 1000    36.3s test_prop_SinglePreserve (collecting)
[ ] 1146    0    0   84 / 1000    38.5s test_prop_SinglePreserve (collecting)
[ ] 1178    0    0   87 / 1000    38.6s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   88 / 1000    38.7s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 38618.01]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    9    0    0    0 / 1000     2.5s test_prop_SinglePreserve (collecting)
[ ]   17    0    0    0 / 1000     2.6s test_prop_SinglePreserve (collecting)
[ ]   20    0    0    0 / 1000     2.9s test_prop_SinglePreserve (collecting)
[ ]   62    0    0    6 / 1000     5.1s test_prop_SinglePreserve (collecting)
[ ]   83    0    0    6 / 1000     5.8s test_prop_SinglePreserve (collecting)
[ ]   93    0    0    8 / 1000     5.9s test_prop_SinglePreserve (collecting)
[ ]  106    0    0   12 / 1000     7.9s test_prop_SinglePreserve (collecting)
[ ]  144    0    0   15 / 1000     8.0s test_prop_SinglePreserve (collecting)
[ ]  151    0    0   16 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  156    0    0   16 / 1000     9.8s test_prop_SinglePreserve (collecting)
[ ]  165    0    0   17 / 1000    10.5s test_prop_SinglePreserve (collecting)
[ ]  184    0    0   19 / 1000    10.7s test_prop_SinglePreserve (collecting)
[ ]  188    0    0   19 / 1000    11.5s test_prop_SinglePreserve (collecting)
[ ]  205    0    0   23 / 1000    13.7s test_prop_SinglePreserve (collecting)
[ ]  208    0    0   23 / 1000    14.5s test_prop_SinglePreserve (collecting)
