,strategy,variable,value
68,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 10) pool.json",60.0,4
69,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",60.0,2
70,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",60.0,4
71,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 100) pool.json",60.0,2
72,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",60.0,3
73,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",60.0,2
74,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",60.0,2
75,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 100) pool.json",60.0,3
76,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 100) pool.json",60.0,3
77,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",60.0,2
78,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1000) pool.json",60.0,3
79,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",60.0,0
80,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 10) pool.json",60.0,1
81,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1) pool.json",60.0,2
82,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 10) pool.json",60.0,5
83,"VariationalMutatingGenerator-StaticSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",60.0,2
84,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1000) pool.json",rest,49
85,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1) pool.json",rest,39
86,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1000) pool.json",rest,53
87,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1) pool.json",rest,47
88,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",rest,49
89,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 10) pool.json",rest,50
90,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",rest,48
91,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",rest,50
92,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 100) pool.json",rest,48
93,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",rest,53
94,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",rest,52
95,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",rest,50
96,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 100) pool.json",rest,43
97,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 100) pool.json",rest,50
98,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",rest,48
99,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1000) pool.json",rest,49
100,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",rest,51
101,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 10) pool.json",rest,49
102,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1) pool.json",rest,52
103,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 10) pool.json",rest,39
104,"VariationalMutatingGenerator-StaticSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",rest,52
